"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"60920","“Rappels” por compras de otros aprovisionamientos","“Rappels” por compras de otros aprovisionamientos","Expense","C","No","No",,"6092","S",
"61100","Variación de existencias de materias primas","Variación de existencias de materias primas","Expense","C","No","No",,"6110","S",
"61200","Variación de existencias de otros aprovisionamientos","Variación de existencias de otros aprovisionamientos","Expense","C","No","No",,"6120","S",
"60700","Trabajos realizados por otras empresas","Trabajos realizados por otras empresas","Expense","C","No","No",,"6070","S",
"69310","Pérdidas por deterioro de mercaderías","Pérdidas por deterioro de mercaderías","Expense","C","No","No",,"6931","S",
"69320","Pérdidas por deterioro de materias primas","Pérdidas por deterioro de materias primas","Expense","C","No","No",,"6932","S",
"69330","Pérdidas por deterioro de otros aprovisionamientos","Pérdidas por deterioro de otros aprovisionamientos","Expense","C","No","No",,"6933","S",
"79310","Reversión del deterioro de mercaderías","Reversión del deterioro de mercaderías","Revenue","C","No","No",,"7931","S",
"79320","Reversión del deterioro de materias primas","Reversión del deterioro de materias primas","Revenue","C","No","No",,"7932","S",
"79330","Reversión del deterioro de otros aprovisionamientos","Reversión del deterioro de otros aprovisionamientos","Revenue","C","No","No",,"7933","S",
"75100","Pérdida transferida (gestor)","Pérdida transferida (gestor)","Revenue","C","No","No",,"7510","S",
"75110","Beneficio atribuido (partícipe o asociado no gestor)","Beneficio atribuido (partícipe o asociado no gestor)","Revenue","C","No","No",,"7511","S",
"75200","Ingresos por arrendamientos","Ingresos por arrendamientos","Revenue","C","No","No",,"7520","S",
"75300","Ingresos de propiedad industrial cedida en explotación","Ingresos de propiedad industrial cedida en explotación","Revenue","C","No","No",,"7530","S",
"75400","Ingresos por comisiones","Ingresos por comisiones","Revenue","C","No","No",,"7540","S",
"75500","Ingresos por servicios al personal","Ingresos por servicios al personal","Revenue","C","No","No",,"7550","S",
"75900","Ingresos por servicios diversos","Ingresos por servicios diversos","Revenue","C","No","No",,"7590","S",
"74000","Subvenciones. donaciones y legados a la explotación","Subvenciones. donaciones y legados a la explotación","Revenue","C","No","No",,"7400","S",
"74700","Otras subvenciones. donaciones y legados transferidos al resultado del ejercicio","Otras subvenciones. donaciones y legados transferidos al resultado del ejercicio","Revenue","C","No","No",,"7470","S",
"77800","Ingresos excepcionales","Ingresos excepcionales","Revenue","C","No","No",,"7780","S",
"64000","Sueldos y salarios","Sueldos y salarios","Expense","C","No","No",,"6400","S",
"64100","Indemnizaciones","Indemnizaciones","Expense","C","No","No",,"6410","S",
"64500","Retribuciones al personal liquidados con instrumentos de patrimonio","Retribuciones al personal liquidados con instrumentos de patrimonio","Expense","C","No","No",,"6450","S",
"64200","Seguridad Social a cargo de la empresa","Seguridad Social a cargo de la empresa","Expense","C","No","No",,"6420","S",
"64300","Retribuciones a largo plazo mediante sistemas de aportación definida","Retribuciones a largo plazo mediante sistemas de aportación definida","Expense","C","No","No",,"6430","S",
"64900","Otros gastos sociales","Otros gastos sociales","Expense","C","No","No",,"6490","S",
"64400","Contribuciones anuales","Contribuciones anuales","Expense","C","No","No",,"6440","S",
"64420","Otros costes","Otros costes","Expense","C","No","No",,"6442","S",
"64570","Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio","Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio","Expense","C","No","No",,"6457","S",
"79500","Exceso de provisión por retribuciones al personal","Exceso de provisión por retribuciones al personal","Revenue","C","No","No",,"7950","S",
"79570","Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio","Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio","Revenue","C","No","No",,"7957","S",
"62000","Gastos en investigación y desarrollo del ejercicio","Gastos en investigación y desarrollo del ejercicio","Expense","C","No","No",,"6200","S",
"62100","Arrendamientos y cánones","Arrendamientos y cánones","Expense","C","No","No",,"6210","S",
"62200","Reparaciones y conservación","Reparaciones y conservación","Expense","C","No","No",,"6220","S",
"62300","Servicios de profesionales independientes","Servicios de profesionales independientes","Expense","C","No","No",,"6230","S",
"62400","Transportes","Transportes","Expense","C","No","No",,"6240","S",
"62500","Primas de seguros","Primas de seguros","Expense","C","No","No",,"6250","S",
"62600","Servicios bancarios y similares","Servicios bancarios y similares","Expense","C","Yes","No","B_EXPENSE_ACCT","6260","S",
"62700","Publicidad. propaganda y relaciones públicas","Publicidad. propaganda y relaciones públicas","Expense","C","No","No",,"6270","S",
"62800","Suministros","Suministros","Expense","C","No","No",,"6280","S",
"62900","Otros servicios","Otros servicios","Expense","C","Yes","No","CB_EXPENSE_ACCT","6290","S",
"63100","Otros tributos","Otros tributos","Expense","C","No","No",,"6310","S",
"63400","Ajustes negativos en la imposición indirecta","Ajustes negativos en la imposición indirecta","Expense","C","No","No",,"6340","S",
"63410","Ajustes negativos en IVA de activo corriente","Ajustes negativos en IVA de activo corriente","Expense","C","No","No",,"6341","S",
"63420","Ajustes negativos en IVA de inversiones","Ajustes negativos en IVA de inversiones","Expense","C","No","No",,"6342","S",
"63600","Devolución de impuestos","Devolución de impuestos","Expense","C","No","No",,"6360","S",
"63900","Ajustes positivos en la imposición indirecta","Ajustes positivos en la imposición indirecta","Expense","C","No","No",,"6390","S",
"63910","Ajustes positivos en IVA de activo corriente","Ajustes positivos en IVA de activo corriente","Expense","C","No","No",,"6391","S",
"63920","Ajustes positivos en IVA de inversiones","Ajustes positivos en IVA de inversiones","Expense","C","No","No",,"6392","S",
"65000","Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables","Expense","C","Yes","No","CB_DIFFERENCES_ACCT","6500","S",
"69400","Pérdidas por deterioro de créditos por operaciones comerciales","Pérdidas por deterioro de créditos por operaciones comerciales","Expense","C","Yes","No","WRITEOFF_ACCT","6940","S",
"69500","Dotación a la provisión por operaciones comerciales","Dotación a la provisión por operaciones comerciales","Expense","C","No","No",,"6950","S",
"69540","Dotación a la provisión por contratos onerosos","Dotación a la provisión por contratos onerosos","Expense","C","No","No",,"6954","S",
"69590","Dotación a la provisión para otras operaciones comerciales","Dotación a la provisión para otras operaciones comerciales","Expense","C","No","No",,"6959","S",
"79400","Reversión del deterioro de créditos por operaciones comerciales","Reversión del deterioro de créditos por operaciones comerciales","Revenue","C","No","No",,"7940","S",
"79540","Exceso de provisión por operaciones comerciales","Exceso de provisión por operaciones comerciales","Revenue","C","No","No",,"7954","S",
"79544","Exceso de provisión por contratos onerosos","Exceso de provisión por contratos onerosos","Revenue","C","No","No",,"7954","S",
"79549","Exceso de provisión para otras operaciones comerciales","Exceso de provisión para otras operaciones comerciales","Revenue","C","No","No",,"7954","S",
"795440","Exceso de provisión por contratos onerosos","Exceso de provisión por contratos onerosos","Revenue","C","No","No",,"7954","S",
"795490","Exceso de provisión para otras operaciones comerciales","Exceso de provisión para otras operaciones comerciales","Revenue","C","No","No",,"7954","S",
"65100","Beneficio transferido (gestor)","Beneficio transferido (gestor)","Expense","C","No","No",,"6510","S",
"65110","Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)","Expense","C","No","No",,"6511","S",
"65900","Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente","Expense","C","No","No",,"6590","S",
"67800","Gastos excepcionales","Gastos excepcionales","Expense","C","No","No",,"6780","S",
"68000","Amortización del inmovilizado intangible","Amortización del inmovilizado intangible","Expense","C","No","No",,"6800","S",
"68100","Amortización del inmovilizado material","Amortización del inmovilizado material","Expense","C","No","No",,"6810","S",
"68200","Amortización de las inversiones inmobiliarias","Amortización de las inversiones inmobiliarias","Expense","C","Yes","No","A_DEPRECIATION_ACCT","6820","S",
"74600","Subvenciones. donaciones y legados de capital transferidos al resultado del ejercicio","Subvenciones. donaciones y legados de capital transferidos al resultado del ejercicio","Revenue","C","No","No",,"7460","S",
"79510","Exceso de provisión para impuestos","Exceso de provisión para impuestos","Revenue","C","No","No",,"7951","S",
"79520","Exceso de provisión para otras responsabilidades","Exceso de provisión para otras responsabilidades","Revenue","C","No","No",,"7952","S",
"79550","Exceso de provisión para actuaciones medioambientales","Exceso de provisión para actuaciones medioambientales","Revenue","C","No","No",,"7955","S",
"79560","Exceso de provisión para reestructuraciones","Exceso de provisión para reestructuraciones","Revenue","C","No","No",,"7956","S",
"69000","Pérdidas por deterioro del inmovilizado intangible","Pérdidas por deterioro del inmovilizado intangible","Expense","C","No","No",,"6900","S",
"69100","Pérdidas por deterioro del inmovilizado material","Pérdidas por deterioro del inmovilizado material","Expense","C","No","No",,"6910","S",
"69200","Pérdidas por deterioro de las inversiones inmobiliarias","Pérdidas por deterioro de las inversiones inmobiliarias","Expense","C","No","No",,"6920","S",
"79000","Reversión del deterioro del inmovilizado intangible","Reversión del deterioro del inmovilizado intangible","Revenue","C","No","No",,"7900","S",
"79100","Reversión del deterioro del inmovilizado material","Reversión del deterioro del inmovilizado material","Revenue","C","No","No",,"7910","S",
"79200","Reversión del deterioro de las inversiones inmobiliarias","Reversión del deterioro de las inversiones inmobiliarias","Revenue","C","No","No",,"7920","S",
"67000","Pérdidas procedentes del inmovilizado intangible","Pérdidas procedentes del inmovilizado intangible","Expense","C","No","No",,"6700","S",
"67100","Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material","Expense","C","No","No",,"6710","S",
"67200","Pérdidas procedentes de las inversiones inmobiliarias","Pérdidas procedentes de las inversiones inmobiliarias","Expense","C","No","No",,"6720","S",
"77000","Beneficios procedentes del inmovilizado intangible","Beneficios procedentes del inmovilizado intangible","Revenue","C","No","No",,"7700","S",
"77100","Beneficios procedentes del inmovilizado material","Beneficios procedentes del inmovilizado material","Revenue","C","No","No",,"7710","S",
"77200","Beneficios procedentes de las inversiones inmobiliarias","Beneficios procedentes de las inversiones inmobiliarias","Revenue","C","No","No",,"7720","S",
"76000","Ingresos de participaciones en instrumentos de patrimonio. empresas del grupo","Ingresos de participaciones en instrumentos de patrimonio. empresas del grupo","Revenue","C","No","No",,"7600","S",
"76010","Ingresos de participaciones en instrumentos de patrimonio. empresas asociadas","Ingresos de participaciones en instrumentos de patrimonio. empresas asociadas","Revenue","C","No","No",,"7601","S",
"76020","Ingresos de participaciones en instrumentos de patrimonio. otras partes vinculadas","Ingresos de participaciones en instrumentos de patrimonio. otras partes vinculadas","Revenue","C","No","No",,"7602","S",
"76030","Ingresos de participaciones en instrumentos de patrimonio. otras empresas","Ingresos de participaciones en instrumentos de patrimonio. otras empresas","Revenue","C","No","No",,"7603","S",
"76100","Ingresos de valores representativos de deuda. empresas del grupo","Ingresos de valores representativos de deuda. empresas del grupo","Revenue","C","No","No",,"7610","S",
"76110","Ingresos de valores representativos de deuda. empresas asociadas","Ingresos de valores representativos de deuda. empresas asociadas","Revenue","C","No","No",,"7611","S",
"76200","Ingresos de créditos a largo plazo empresas del grupo","Ingresos de créditos a largo plazo empresas del grupo","Revenue","C","No","No",,"7620A","S",
"76201","Ingresos de créditos a largo plazo. empresas asociadas","Ingresos de créditos a largo plazo. empresas asociadas","Revenue","C","No","No",,"7620A","S",
"76210","Ingresos de créditos a corto plazo. empresas del grupo","Ingresos de créditos a corto plazo. empresas del grupo","Revenue","C","No","No",,"7621A","S",
"76211","Ingresos de créditos a corto plazo. empresas asociadas","Ingresos de créditos a corto plazo. empresas asociadas","Revenue","C","No","No",,"7621A","S",
"76202","Ingresos de créditos a largo plazo. otras partes vinculadas","Ingresos de créditos a largo plazo. otras partes vinculadas","Revenue","C","No","No",,"7620B","S",
"76203","Ingresos de créditos a largo plazo. otras empresas","Ingresos de créditos a largo plazo. otras empresas","Revenue","C","No","No",,"7620B","S",
"76212","Ingresos de créditos a corto plazo. otras partes vinculadas","Ingresos de créditos a corto plazo. otras partes vinculadas","Revenue","C","No","No",,"7621B","S",
